Model,Horizon,FrenchPiezo_MAE,FrenchPiezo_RMSE,FrenchPiezo_R2,FrenchPiezo_DirectionAcc,BC_PGOWN128_MAE,BC_PGOWN128_RMSE,BC_PGOWN128_DirectionAcc,Unit,FrenchPiezo_EvidenceFile,FrenchPiezo_run_dir,BC_PGOWN128_EvidenceFile,BC_PGOWN128_run_dir
lstm,30,23.495962142944336,44.46781539916992,0.3055911219619728,0.764933628318584,24.381052105476556,58.1905352557842,0.6659099002849003,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/lstm/runs/lstm_h30_s2022_1779956457,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/lstm/runs/lstm_h30_s2022_1780454675
tcn,30,23.188495635986328,45.83198547363281,0.2623318399586297,0.7518839878318584,25.18056903019624,58.597136093172594,0.6606681801994302,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/tcn/runs/tcn_h30_s2022_1779956568,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/tcn/runs/tcn_h30_s2022_1780454775
cnn_lstm,30,23.15459251403809,44.78057861328125,0.2957885196612476,0.7634471792035398,25.039508181658675,58.04280539940373,0.6720085470085471,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/cnn_lstm/runs/cnn_lstm_h30_s2022_1779956600,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/cnn_lstm/runs/cnn_lstm_h30_s2022_1780454839
dlinear,30,26.567527770996094,47.8553352355957,0.1957623006589246,0.700480503318584,25.88111205459063,61.15804110890531,0.6296407585470085,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/dlinear/runs/dlinear_h30_s2022_1779956647,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/dlinear/runs/dlinear_h30_s2022_1780454946
itransformer,30,19.422866821289062,37.29010009765625,0.5116729463818812,0.7536642699115044,23.26484061452902,55.90748004959096,0.6796207264957265,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/itransformer/runs/itransformer_h30_s2022_1779956663,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/itransformer/runs/itransformer_h30_s2022_1780454964
patchtst,30,23.29011344909668,43.76528930664063,0.3273590057870341,0.7311255530973452,25.043772564121355,58.37525611582896,0.6747796474358975,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/patchtst/runs/patchtst_h30_s2022_1779956741,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/patchtst/runs/patchtst_h30_s2022_1780455014
stgcn,30,20.93938064575196,40.19295883178711,0.4326857933822451,0.7724350110619469,24.274549115945774,55.17114833422238,0.6935541310541311,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/stgcn/runs/stgcn_h30_s2022_1779956906,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/stgcn/runs/stgcn_h30_s2022_1780455109
dcrnn,30,21.177217483520508,39.33242416381836,0.456718186850844,0.722051299778761,23.855483853365513,53.91386848966431,0.6965144230769231,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/dcrnn/runs/dcrnn_h30_s2022_1779956987,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/dcrnn/runs/dcrnn_h30_s2022_1780455183
graph_wavenet,30,18.006282806396484,36.64045333862305,0.5285393995672363,0.759160674778761,22.89760238386407,52.82937944115474,0.6659321581196581,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/graph_wavenet/runs/graph_wavenet_h30_s2022_1779957296,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/graph_wavenet/runs/graph_wavenet_h30_s2022_1780455566
agcrn,30,17.988487243652344,36.65391540527344,0.5281928860833556,0.7617878871681416,22.930142879255982,52.58723576678676,0.6614472044159544,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/agcrn/runs/agcrn_h30_s2022_1779957343,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/agcrn/runs/agcrn_h30_s2022_1780455663
