Model,Horizon,FrenchPiezo_RMSE_1_10,FrenchPiezo_RMSE_11_20,FrenchPiezo_RMSE_21_30,BC_PGOWN128_RMSE_1_10,BC_PGOWN128_RMSE_11_20,BC_PGOWN128_RMSE_21_30,Unit,FrenchPiezo_EvidenceFile,FrenchPiezo_run_dir,BC_PGOWN128_EvidenceFile,BC_PGOWN128_run_dir
lstm,30,19.27776527404785,40.87018966674805,62.37110137939453,33.76875305175781,57.89400100708008,75.27530670166016,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/lstm/runs/lstm_h30_s2022_1779956457,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/lstm/runs/lstm_h30_s2022_1780454675
tcn,30,19.86541557312012,42.12976837158203,64.2818832397461,33.98383712768555,58.3204460144043,75.79377746582031,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/tcn/runs/tcn_h30_s2022_1779956568,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/tcn/runs/tcn_h30_s2022_1780454775
cnn_lstm,30,19.664600372314453,41.10791015625,62.764190673828125,33.9135627746582,57.925559997558594,74.8425064086914,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/cnn_lstm/runs/cnn_lstm_h30_s2022_1779956600,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/cnn_lstm/runs/cnn_lstm_h30_s2022_1780454839
dlinear,30,21.138166427612305,44.13752365112305,66.89884948730469,34.55556106567383,60.40782928466797,79.86067199707031,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/dlinear/runs/dlinear_h30_s2022_1779956647,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/dlinear/runs/dlinear_h30_s2022_1780454946
itransformer,30,17.942419052124023,35.03473663330078,51.20831298828125,33.64625549316406,56.322017669677734,71.2228775024414,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/itransformer/runs/itransformer_h30_s2022_1779956663,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/itransformer/runs/itransformer_h30_s2022_1780454964
patchtst,30,19.250825881958008,40.35017395019531,61.21659469604492,33.933780670166016,58.17560958862305,75.41292572021484,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/patchtst/runs/patchtst_h30_s2022_1779956741,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/patchtst/runs/patchtst_h30_s2022_1780455014
stgcn,30,18.20883178710937,37.25989532470703,55.9156494140625,32.82218933105469,55.13427734375,70.8130111694336,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/stgcn/runs/stgcn_h30_s2022_1779956906,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/stgcn/runs/stgcn_h30_s2022_1780455109
dcrnn,30,17.6771240234375,36.003170013427734,55.067325592041016,32.898372650146484,54.130374908447266,68.61279296875,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/dcrnn/runs/dcrnn_h30_s2022_1779956987,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/dcrnn/runs/dcrnn_h30_s2022_1780455183
graph_wavenet,30,16.93642807006836,33.7039680480957,51.03693389892578,32.342918395996094,53.512237548828125,66.80722045898438,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/graph_wavenet/runs/graph_wavenet_h30_s2022_1779957296,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/graph_wavenet/runs/graph_wavenet_h30_s2022_1780455566
agcrn,30,16.932830810546875,33.70309829711914,51.06768798828125,32.24534225463867,53.15751266479492,66.56401824951172,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/agcrn/runs/agcrn_h30_s2022_1779957343,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/agcrn/runs/agcrn_h30_s2022_1780455663
mtgnn,30,17.272186279296875,34.623966217041016,52.76908493041992,32.49435806274414,53.921913146972656,67.89973449707031,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/mtgnn/runs/mtgnn_h30_s2022_1779957390,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/mtgnn/runs/mtgnn_h30_s2022_1780455767
astgcn,30,18.287317276000977,36.99837112426758,55.87928771972656,32.97398376464844,54.76905059814453,70.49764251708984,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/astgcn/runs/astgcn_h30_s2022_1779957442,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/astgcn/runs/astgcn_h30_s2022_1780455844
lag_stgnet,30,16.561452865600586,31.81005477905273,46.85993576049805,32.16094207763672,51.60723114013672,64.1218490600586,cm,summary_csv/frenchpiezo_top15_summaries/frenchpiezo_main_summary.csv,01_FrenchPiezo_main/main/lag_stgnet/runs/lag_stgnet_h30_s2022_1779957547,summary_csv/external_dataset_summaries/bc_pgown128_seq30_main_summary.csv,02_BC_PGOWN128_external/lag_stgnet_k4/runs/lag_stgnet_h30_s2022_1780456005
